num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
2379	0.0519888969371818	0.627311187964009	1801	142	0.937617162268167	73			1844.90999999999	-5.14237034940293e-05		0.0299999999988358	infill_ei	0.410000000003492	0.00506571424645329	0.937698338141106	93
2985	0.005327457324357	0.256760584910012	947	907	0.93747072876186	46			1156.03000000001	-0.000467829089517901		0.0600000000049477	infill_ei	0.439999999995052	0.00296121218617437	0.94559356757651	66
1448	0.093211817623588	0.999558349980371	2044	1	0.937226450294956	31			1037.63	-1.28779109305413e-05		0.0999999999985448	infill_ei	0.590000000000146	0.00356574317678579	0.939270587683486	51
1619	0.0468797362277757	0.789527206240794	214	342	0.937146392241111	35			916.65	-0.000193478908227887		0.0799999999999272	infill_ei	0.5	0.00324313732620902	0.943694462502046	55
2239	0.0171775521223825	0.387950280736349	849	418	0.936880694817546	56			1655.39	-0.000522877533451547		0.0800000000017462	infill_ei	0.389999999999418	0.00396746485716806	0.944523844995689	76
2920	0.00664896833389132	0.341020427417094	484	611	0.936821313452723	67			1595.92	-0.000566276465021725		0.100000000005821	infill_ei	0.509999999994761	0.00285068866136766	0.946071019047302	87
2977	0.0136405201868569	0.953149459547151	413	3599	0.936722839414326	0			299.03				initdesign				14
2267	0.0238715639722575	0.111503488923964	8	45	0.936377728321637	7			128.91	-0.000487654135563123		0.0300000000006548	infill_ei	0.389999999999418	0.00183122312110481	0.944033027803244	27
2192	0.00795985025692358	0.257078473602441	2020	122	0.93637032522623	97			5673.42999999999	-0.000150679470537169		0.189999999987776	infill_ei	0.660000000003493	0.00355903245785157	0.942740894293918	117
876	0.0235935407001843	0.44111599111404	1160	864	0.936276364678799	61			440.779999999999	-6.94393774295784e-05		0.0299999999988358	infill_ei	0.409999999988941	0.00506522390576992	0.938289842396441	81
121	0.0652164193582792	0.632292519556043	232	266	0.935629164581632	53			77.1699999999983	-8.72012738363047e-05		0.0299999999988358	infill_ei	0.360000000000582	0.00514399188441607	0.93858445438705	73
1122	0.0260233722660601	0.715367452866964	2025	5546	0.935344407663146	0			99.7499999999999				initdesign				6
2486	0.0792382681130105	0.416667440472363	1374	5835	0.9352010111014	0			267.98				initdesign				5
878	0.0410263817005086	0.372894375898044	152	2226	0.934871339147852	84			200.460000000006	-4.29255461628955e-05		0.0500000000029104	infill_ei	0.470000000001164	0.00498370198023609	0.937547789452821	104
1456	0.0625643756879586	0.511097429592112	1407	963	0.934864466569569	39			733.09	-0.000133234276890542		0.0300000000024738	infill_ei	0.590000000000146	0.00370489170536464	0.942269008841141	59
2465	0.0591897251496459	0.21442775905765	122	980	0.934761689745804	83			941.260000000009	-4.4486000722985e-05		0.0299999999988358	infill_ei	0.440000000002328	0.00500039404917924	0.937575104155831	103
1076	0.0869346532847832	0.692717873661364	1654	1361	0.934442471828088	68			323.970000000001	-5.84357108358253e-05		0.0299999999988358	infill_ei	0.389999999999418	0.00509609651418731	0.937877962264027	88
2746	0.0673011825438347	0.494108082736954	257	6796	0.934423840352908	0			241.93				initdesign				16
2406	0.00506624471347753	0.199772817753313	1149	3567	0.934052199586326	59			408.279999999999	-7.39401446368011e-05		0.0299999999988358	infill_ei	0.410000000003492	0.00506467684465926	0.938417282725152	79
2359	0.071786432723469	0.99929501383392	85	1261	0.933972527885191	37			642.940000000001	-0.000127484042081111		0.0299999999988358	infill_ei	0.350000000000364	0.00428942753753847	0.941080796749817	57
1986	0.0746632978468472	0.271461994637292	694	7914	0.933839261752759	0			153.17				initdesign				2
2276	0.0579351366830113	0.345724335731138	929	1585	0.933729071096431	66			666.930000000008	-6.29508724657481e-05		0.0300000000133878	infill_ei	0.459999999991851	0.00513438096601438	0.937939203910838	86
2448	0.0891707237857733	0.613768100901406	783	2877	0.933714476467176	74			451.729999999996	-4.97351193158041e-05		0.0600000000122236	infill_ei	0.599999999991269	0.00503841257080119	0.937697465282257	94
296	0.0222911120086702	0.857131192634601	1772	1733	0.933669915731282	47			77.6200000000026	-9.92265165255687e-05		0.0299999999988358	infill_ei	0.459999999999127	0.00513062967158604	0.938884688546414	67
